,name,rating,type,ailment_tokens,positive_effects,negative_effects,description,effects,flavors,strain_id
0,Afpak,3.18,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'lack', 'appetite']","Relaxed, Hungry, Happy, Sleepy",Dizzy,"Afpak, named for its direct Afghani and Pakistani landrace heritage, is a beautiful indica-dominant hybrid with light green and deep bluish purple leaves. The taste and aroma are floral with a touch of lemon, making the inhale light and smooth. Its effects start in the stomach by activating the appetite. There is also a potent relaxation that starts in the head and face, and gradually sinks down into the body. Enjoy this strain if you’re suffering from stress, mild physical discomfort, or having difficulty eating.","Relaxed,Creative,Focused,Sleepy,Happy","Earthy, Chemical, Pine",0
1,African,2.5,sativa,"['depression', 'pain', 'stress', 'lack', 'appetite', 'nausea', 'headache']","Euphoric, Happy, Creative, Energetic, Talkative",Dry Mouth,"African refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of this region's latitude and climate, these native landrace strains tend to be sativa in structure and effect.","Euphoric,Energetic,Aroused,Tingly,Creative","Spicy/Herbal, Pungent, Earthy",1
2,Afternoon Delight,4.55,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'cramp', 'headache']","Relaxed, Hungry, Euphoric, Uplifted, Tingly","Dizzy, Dry Mouth, Paranoid","Afternoon Delight, created by Colorado Seed Inc., is a difficult strain to track down. Noted for its small, dense nuggets and an aroma of pine and pungent terpenes, Afternoon Delight is described as an indica-dominant hybrid with a hazy aura that engulfs the mind and body. But indulge with caution, as this hybrid has also been known for its potency.","Talkative,Relaxed,Uplifted,Tingly,Creative","Pepper, Flowery, Pine",2
3,Afwreck,3.18,hybrid,"['pain', 'stress', 'headache', 'fatigue', 'headache', 'muscle', 'spasm']","Relaxed, Happy, Creative, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes",Afwreck is a hybrid cross of Afghani and Trainwreck. Strong sativa effects with immediate head-concentrated high.,"Euphoric,Happy,Uplifted,Relaxed,Sleepy","Pine, Earthy, Flowery",3
4,Agent Orange,3.18,hybrid,"['depression', 'pain', 'stress', 'nausea', 'headache', 'headache']","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Don’t let the name scare you! The only herbicidal warfare Agent Orange will wage is between the excellence of this strain's flavors and uplifting effects. A well-balanced hybrid that combines the smooth Orange Velvet with the bold Jack the Ripper, Agent Orange will capture your senses. Wonderful smells of oranges and fresh-cut citrus fruit will entice you immediately, while the pigments of deep maroon and purple will make this bud stand out in a sea of green. The effects are uplifting and motivating, serving as a great mood enhancer if you are feeling lethargic or depressed.","Happy,Uplifted,Relaxed,Energetic,Euphoric","Citrus, Orange, Sweet",4
5,Agent Tangie,3.86,hybrid,"['depression', 'stress', 'cramp', 'fatigue', 'eye', 'pressure']","Euphoric, Happy, Creative, Uplifted, Focused","Dry Mouth, Dry Eyes","For those craving a cerebral buzz with a citrus kick, 3C Agent Tangie is perfect. The glittery colas are light green with a zesty, floral flavor. Its effects linger in the crown of the skull and disperse throughout the body in steady waves of invigoration. This strain may assist those suffering from perpetual procrastination, depression, and fatigue.","Uplifted,Happy,Creative,Euphoric,Focused","Skunk, Pepper, Citrus",5
6,Alaska,4.09,sativa,"['depression', 'pain', 'stress', 'lack', 'appetite', 'headache']","Relaxed, Euphoric, Happy, Energetic, Focused","Dizzy, Paranoid, Dry Eyes, Anxious","Alaska, developed by Tikun Olam, is an Israeli strain comprised of 70% sativa genetics. With uplifting effects intended for daytime consumption, Alaska has been found to successfully treat an array of medical symptoms including inflammation, pain, nausea, insomnia, and gastrointestinal disorders.","Relaxed,Sleepy,Euphoric,Focused,Happy","Earthy, Woody, Pungent",6
7,Alaska Thunder Grape,5.0,hybrid,"['pain', 'stress', 'eye', 'pressure']","Relaxed, Euphoric, Creative, Tingly, Focused",Not Available,"From Sonoma County comes Alaska Thunder Grape, a hybrid strain that balances genetics from Matanuska Thunder Fuck and Grape Ape. With floral flavors of lavender and hibiscus, Alaska Thunder Grape delivers heavy euphoric effects that promote rest and relaxation.","Tingly,Uplifted,Creative,Euphoric,Focused","Grape, Pepper, Skunk",7
8,Alaskan Ice,3.64,sativa,"['depression', 'pain', 'stress', 'fatigue', 'headache']","Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Alaskan Ice by Green House Seeds is a powerful sativa that crosses a euphoric White Widow hybrid with the energizing buzz of Haze. Frostlike resin blankets the buds in a promise of soaring psychoactivity, anchored only by its moderate CBD content. The intensity of this 70% sativa strain is recommended for evening consumption and unproductive weekends. Alaskan Ice is a slight variant of Moby Dick, but poses a greater challenge to growers; cultivators with the expertise to raise Alaskan Ice will be rewarded with a highly potent harvest of sour, spicy buds following a 9 week flowering period. The high resin content of Alaskan Ice has made this strain a favorite among hash producers and patients with severe symptoms.","Euphoric,Uplifted,Happy,Relaxed,Energetic","Earthy, Pine, Minty",8
9,Alaskan Thunder Fuck,3.64,sativa,"['depression', 'pain', 'stress', 'lack', 'appetite', 'headache', 'fatigue']","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Alaskan Thunder Fuck (also referred to as ATF, Matanuska Thunder Fuck or Matanuska Tundra) is a legendary sativa-dominant strain originating in the Matanuska Valley area of Alaska. According to the legend, it was originally a Northern California sativa crossed with a Russian ruderalis, but sometime in the late 70s it was crossed with Afghani genetics to make it heartier. ATF usually presents large, beautifully frosted buds with incredibly strong odors of pine, lemon, menthol, and skunk. Known for possessing a relaxing yet intensely euphoric high, it is also described as having a “creeper” effect as well as pronounced appetite enhancement.","Happy,Euphoric,Relaxed,Uplifted,Energetic","Earthy, Woody, Pine",9
